,Star_name,Distance,Mass,Radius,Gravity
0,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99,13432.220946902917
1,2MASS J00040288-6410358,192.0,19.0,1.63,1961.3512242583106
2,LHS 102BC,,,,
3,2MASS J00242463-0158201,37.7,79.0,1.09,18236.90241167102
4,2MASS J00250365+4759191AB,143.0,,,
5,2MASS J00274197+0503417,236.0,31.0,1.44,4100.281638332751
6,2MASS J00275592+2219328,46.9,,,
7,2MASSW J0030300-145033,87.2,54.0,0.98,15421.214825923567
8,2MASS J00332386-1521309 [de],131.0,29.0,1.43,3889.5817312962217
9,2MASS J00345157+0523050,31.0,42.0,0.94,13036.786760187986
10,2MASS 0036+1821,28.6,42.0,0.94,13036.786760187986
11,2MASSW J0045214+163445,57.0,23.0,1.62,2403.6696820493066
12,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3,1947.4733358076255
13,2MASS J00501994-3322402 [de],34.0,40.0,0.94,12415.987390655226
14,2MASS J00034227-2822410,,,,
15,2MASS J00584253-0651239 [de],96.0,29.0,1.43,3889.5817312962217
16,CFBDS J005910.90–011401.3,30.0,23.0,,
17,2MASSI J0103320+193536,70.0,52.0,0.98,14850.058721259731
18,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98,14850.058721259731
19,2MASSI J0117474-340325 [de],163.0,20.0,1.62,2090.147549608093
20,2MASS J01415823-4633574 [de],130.0,20.0,1.61,2116.192750739354
21,SDSS J015141.69+124429.6,70.0,47.0,0.97,13700.340725475582
22,DENIS-P J020529.0−115925A,65.0,,,
23,DENIS-P J020529.0−115925B,65.0,,,
24,DENIS-P J020529.0−115925C,65.0,,,
25,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97,13700.340725475582
26,2MASS J02103857-3015313,101.0,15.0,1.53,1757.4597043417527
27,2MASS J02340093-6442068,155.0,20.0,1.62,2090.147549608093
28,2MASS J02411151-0326587 [de],152.0,27.0,1.41,3724.796217196568
29,2MASS J02431371−2453298,35.0,33.0,0.99,9234.651900995756
30,LP 771-21,53.0,78.0,1.08,18341.044747811015
31,2MASS J02511327+0047364,,,,
32,Teegarden's star,12.578,80.0,1.27,13603.7776159501
33,2MASS J02535980+3206373,184.0,65.0,1.9,4938.364403011719
34,WISE J0254+0223,24.0,65.0,1.9,4938.364403011719
35,DEN 0255-4700,16.2,80.0,0.97,23319.728894426524
36,2MASS J03185403-3421292 [de],45.0,49.0,0.97,14283.333947836245
37,2MASS J03205965+1854233,47.0,88.0,1.15,18250.04628237619
38,2MASS J03231002-4631237,192.0,23.0,1.66,2289.2258359595735
39,SDSS J032553.17+042540.1,59.0,45.0,0.95,13675.470654493993
40,2MASS J03264225-2102057 [de],80.0,18.0,1.3,2921.2100037114383
41,2MASS J03284265+2302051 [de],98.0,54.0,0.98,15421.214825923567
42,2MASS J03341218-4953322,27.0,73.0,1.04,18511.13978046311
43,LP 944-20,20.9,73.0,1.43,9791.016082228422
44,2MASP J0345432+254023,88.0,74.0,1.05,18408.9958712095
45,Teide 1,380.0,55.0,3.78,1055.7377929142917
46,2MASS J03510004-0052452,48.0,102.0,1.27,17344.816460336377
47,2MASS J03552337+1133437,29.8,20.0,1.32,3148.1767844303713
48,DENIS-P J035726.9-441730 [de],130.0,,,
49,2MASS J04151954−0935066,18.6,30.0,0.95,9116.980436329328
50,SDSSp J042348.57-041403.5 [de],50.0,,,
51,2MASS J04285096-2253227 [de],85.0,80.0,1.09,18467.749277641542
52,2MASS J04351612-1606574,34.0,100.0,1.26,17275.709338597502
53,2MASS J04362788-4114465,142.0,39.0,1.97,2756.1898778436403
54,2MASS J04390101-2353083 [de],29.5,48.0,0.97,13991.837336655914
55,2MASS J04414489+2301513,470.0,19.0,,
56,2MASS J04433764+0002040,82.0,22.0,1.78,1904.4064992143121
57,2MASS J04455387-3048204 [de],42.0,64.0,1.0,17553.22633341273
58,2MASS J04510093-3402150 [de],69.0,1.04,72.0,0.055023134243433046
59,2MASS J05002100+0330501 [de],44.0,64.0,1.0,17553.22633341273
60,2MASS J05012406-0010452 [de],64.0,21.0,1.38,3024.392139598327
61,2MASS J05160945-0445499 [de],73.0,47.0,0.97,13700.340725475582
62,2MASS J0523−1403,40.0,68.0,1.01,18282.81833080191
63,2MASS 0532+8246,81.0,83.0,,
64,SDSS J053951.99-005902.0,41.62,61.0,1.01,16400.763502631125
65,2MASS J05591914-1404488 [de],34.0,,,
66,LSR 0602+3910 [de],34.6,28.0,1.41,3862.7516326482923
67,2MASS J06085283-2753583,102.0,38.0,1.51,4570.952210632784
68,WISEP J061135.13-041024.0A,69.0,65.0,,
69,WISEP J061135.13-041024.0B,69.0,53.0,,
70,2MASS J06244595-4521548 [de],39.0,56.0,0.99,15670.924438053404
71,2MASS J06411840-4322329 [de],65.0,67.0,1.01,18013.95335534894
72,DENIS-P J0652197-253450 [de],51.0,75.0,1.05,18657.766085685304
73,2MASS J07003664+3157266 [de],40.0,,,
74,2MASS J07075327-4900503,60.0,72.0,1.03,18613.799250720447
75,UGPS J072227.51-054031.2,13.4,26.0,0.98,7425.029360629866
76,2MASSI J0727182+171001 [de],29.6,41.0,0.94,12726.387075421604
77,2MASS J07290002-3954043 [de],25.8,37.0,0.94,11484.788336356085
78,SDSS J074201.41+205520.5 [de],49.0,43.0,0.94,13347.186444954366
79,2MASS J0746425+200032 [fr],49.6,,,
80,DENIS-P J0751164-253043 [de],55.0,71.0,1.03,18355.27426112711
81,2MASS J07522390+1612157,60.0,2.01,68.0,0.11922167269328364
82,DENIS J081730.0-615520,16.1,44.0,0.94,13657.586129720748
83,DENIS J082303.1−491201A,67.0,44.0,,
84,DENIS J082303.1−491201B,67.0,28.0,,
85,2MASS J08251968+2115521 [de],35.0,52.0,0.98,14850.058721259731
86,SDSSp J083008.12+482847.4 [de],43.0,48.0,0.99,13432.220946902917
87,LHS 2021,55.0,88.0,1.15,18250.04628237619
88,SDSS J083048.80+012831.1 [de],77.0,46.0,0.96,13689.649986046441
89,2MASSI J0835425-081923 [de],23.53,62.0,1.0,17004.688010493584
90,2MASSI J0847287-153237 [de],43.0,64.0,1.0,17553.22633341273
91,2MASS J08533619-0329321,27.6,77.0,1.07,18445.912684415405
92,2MASSI J0859254-194926 [de],50.0,50.0,0.98,14278.902616595895
93,2MASSW J0920122+351742 [de],95.0,,,
94,2MASSI J0937347+293142,20.0,42.0,0.94,13036.786760187986
95,2MASS 0939−2448,17.4,32.0,0.95,2.366404432132964e-09
